Genes,ID
C1QL1,8016155
C1QTNF1,8010287
C1QTNF2,8115594
C1QTNF4,7947928
C1QTNF6,8075897
C1QTNF7,8094184
C1R,7960744
C1RL,7960757
C1S,7953603
C1orf101,7911056
C1orf106,7908639
C1orf109,7915045
C1orf112,7907183
C1orf115,7909862
C1orf122,7900192
C1orf123,7916262
C1orf131,7925033
C1orf158,7897966
C1orf159,7911383
C1orf162,7903980
C1orf168,7916506
C1orf174,7911897
C1orf194,7918294
C1orf198,7924996
C1orf21,7908161
C1orf210,7915500
C1orf216,7914847
C1orf27,7908330
C1orf35,7924842
C1orf52,7917331
C1orf53,7908525
C1orf54,7905147
C1orf56,7905324
C1orf61,7921003
C1orf64,7898296
C1orf74,7924055
C1orf87,7916629
C1orf94,7899911
C2,8118324
C2,8178095
C2,8179331
C20orf194,8064637
C20orf196,8060796
C20orf27,8064739
C20orf85,8063601
C20orf96,8064322
C21orf2,8069083
C21orf2,8070744
